input,target
"Listen on port 8000 on localhost and selected IP, forwarding to 8000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/security-service-pod 8000:8000"
"Listen on port 8888 locally, forwarding to 8080 in the pod",kubectl port-forward pod/backend-pod 8888:8080
Delete the cluster-admin user,kubectl config delete-user cluster-admin
"Set basic auth for the ""saas-admin"" entry",kubectl config set-credentials saas-admin --username=admin --password=uXFGweU9l35qcif
Set custom TLS server name to use for validation for the galaxy-cluster cluster entry,kubectl config set-cluster galaxy-cluster --tls-server-name=testing-cluster
Create a job,kubectl create job audit-job --image=busybox
"Listen on ports 8888 and 6000 locally, forwarding data to/from ports 8088 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/email-server-deployment 8888 8088
"Listen on port 8081 locally, forwarding to 8080 in the pod",kubectl port-forward pod/proxy-server-pod 8081:8080
"Auto scale a replication controller ""media-stream"", with the number of pods between 1 and 8, target CPU utilization at 50%",kubectl autoscale rc media-stream --max=8 --cpu-percent=50
Scale a replica set named 'dev-environment-rs' to 7,kubectl scale --replicas=7 rs/dev-environment-rs
Embed certificate authority data for the galaxy-cluster cluster entry,kubectl config set-cluster galaxy-cluster --embed-certs --certificate-authority=~/.kube/e2e/kubernetes.ca.crt
"List deployments in JSON output format, in the ""feature-branch-2.3.0"" version of the ""mobile-apps"" API group",kubectl get deployments.feature-branch-2.3.0.mobile-apps -o json
Update pod 'foo' with the label 'env' and the value 'development',kubectl label pods foo env=development
"Check to see if I can get the job named ""content-import-job"" in namespace ""staging""",kubectl auth can-i list jobs.batch/content-import-job -n staging
Remove from node 'kube-master-9' all the taints with key 'dedicated',kubectl taint nodes kube-master-9 dedicated-
List all pods in ps output format with more information (such as node name),kubectl get pods -o wide
Update pod 'monitoring' with the label 'role' and the value 'frontend',kubectl label pods monitoring role=frontend
"Listen on port 8000 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/web-service 8000:https
"Update a pod identified by type and name in ""options.json""",kubectl annotate -f options.json backup-strategy='daily backups'
"Listen on port 3000 locally, forwarding to 3000 in the pod",kubectl port-forward pod/log-aggregator-pod 3000:3000
Create a copy of auth-service-pod changing all container images to node,kubectl debug auth-service-pod --copy-to=dgb-img --set-image=*=node
Set custom TLS server name to use for validation for the moon-cluster cluster entry,kubectl config set-cluster moon-cluster --tls-server-name=app-cluster
"Listen on port 8080 locally, forwarding to 5432 in the pod",kubectl port-forward pod/chat-app-pod 8080:5432
"Listen on port 8000 locally, forwarding to 8000 in the pod",kubectl port-forward pod/chat-app-pod 8000:8000
Add a taint with key 'disktype' on nodes having label service=auth,kubectl taint node -l service=auth  disktype=db-node-7:PreferNoSchedule
Create a cron job with a command,"kubectl create cronjob data-processing --image=mongo --schedule=""*/1 * * * *"" -- mongo --version"
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 6379 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/database-deployment 8000 6379
Return snapshot logs from first container of a job named data-migration-job,kubectl logs job/data-migration-job
Begin streaming the logs of the quantum-quark container in pod mypod,kubectl logs -f -c quantum-quark mypod
Update deployment 'authentication-service-deployment' with a new environment variable,kubectl set env deployment/authentication-service-deployment SMTP_HOST=smtp.example.com
Update deployment 'log-aggregator-deployment' with a new environment variable,kubectl set env deployment/log-aggregator-deployment DB_USER=username
Set the cluster field in the my-context context to on-prem-cluster,kubectl config set contexts.team-alpha-context.cluster on-prem-cluster
Set custom TLS server name to use for validation for the sun-cluster cluster entry,kubectl config set-cluster sun-cluster --tls-server-name=web-cluster
Rename the context 'cluster-1-context' to 'service-account-context' in your kubeconfig file,kubectl config rename-context cluster-1-context service-account-context
"Create a service for a replicated ruby, which serves on port 80 and connects to the containers on port 8000",kubectl expose rc ruby --port=80 --target-port=801000
"Create a service for a replicated hazelcast using replica set, which serves on port 80 and connects to the containers on port 8000",kubectl expose rs hazelcast --port=8443 --target-port=8000
"Listen on ports 6379 and 6000 locally, forwarding data to/from ports 6379 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/search-engine-deployment 6379 6379
Create a new secret named docker-registry-secret with keys for each file in folder bar,kubectl create secret generic docker-registry-secret --from-file=path/to/preferences
Import specific keys from a config map,kubectl set env --keys=SECRET_KEY --from=configmap/api-config deployment/monitoring-stack-deployment
Copy ~/.config/kube local file to /tmp/bar_dir in a remote pod in a specific container,kubectl cp ~/.config/kube front-end-pod-12:/tmp/bar_dir -c front-end-container
"Output modified deployment in YAML, and does not alter the object on the server",kubectl set env deployment/analytics-platform-deployment ENV=prod -o yaml
Copy /tmp/foo from a remote pod to /tmp/bar_dir locally,kubectl cp monitoring/front-end-pod-12:/tmp/foo /tmp/bar_dir
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 5432 and 6000 in the pod",kubectl port-forward pod/frontend-pod 8000 5432
"List deployments in YAML output format, in the ""alpha-2.0"" version of the ""alpha-apps"" API group",kubectl get deployments.alpha-2.0.alpha-apps -o yaml
Import specific keys from a config map,kubectl set env --keys=DATABASE_URL --from=configmap/app-name-config deployment/email-server-deployment
Import specific keys from a config map,kubectl set env --keys=DEBUG_MODE --from=configmap/monitoring-config deployment/scheduler-app-deployment
"Listen on port 6379 locally, forwarding to 9090 in the pod",kubectl port-forward pod/proxy-server-pod 6379:9090
Get output from mycontainer from pod auth-service-pod,kubectl attach auth-service-pod -c mycontainer
Add a taint with key 'datacenter' on nodes having label myLabel,kubectl taint node -l myLabel  datacenter=node-2:PreferNoSchedule
"Listen on a random port locally, forwarding to 5000 in the pod",kubectl port-forward pod/chat-app-pod :5000
Get output from running the 'pip --version' command in warp-drive from pod analytics-pod,kubectl exec analytics-pod -c warp-drive -- pip --version
"Listen on port 5000 locally, forwarding to 5432 in the pod",kubectl port-forward pod/security-service-pod 5000:5432
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 9090 and 6000 in the pod",kubectl port-forward pod/e-commerce-pod 8000 9090
Import specific keys from a config map,kubectl set env --keys=api_key --from=configmap/ui-config deployment/analytics-platform-deployment
Return snapshot of previous terminated warp-drive container logs from pod e-commerce-pod,kubectl logs -p -c warp-drive e-commerce-pod
List a single pod in YAML output format,kubectl get -o yaml pod email-service-pod
Import specific keys from a config map,kubectl set env --keys=api_key --from=configmap/app-config-dev deployment/monitoring-stack-deployment
Get output from running the 'sleep 3600' command in cosmic-container from pod log-aggregator-pod,kubectl exec log-aggregator-pod -c cosmic-container -- sleep 3600
"Delete pods and services with same names ""chat-app"" and ""email""","kubectl delete pod,service chat-app email"
Add a taint with key 'special' on nodes having label app=web-app,kubectl taint node -l app=web-app  special=monitoring-node-15:PreferNoSchedule
Add to node 'node-1' a taint with key 'special' and no value,kubectl taint nodes node-1 special:NoSchedule
"Create a cluster role named ""default_role"" with ResourceName specified",kubectl create clusterrole default_role --verb=list --resource=services --resource-name=report-generator --resource-name=file-processing
Copy :/tmp/foo local file to /tmp/bar in a remote pod in namespace,kubectl cp :/tmp/foo default/load-balancer-pod-9:/tmp/bar
Set the cluster field in the my-context context to kube-cluster-1,kubectl config set contexts.on-prem-context.cluster kube-cluster-1
"Update pod 'vpn' with the annotation 'last-deployment' and the value '2023-03-15', overwriting any existing value",kubectl annotate --overwrite pods vpn last-deployment='2023-03-15'
Import specific keys from a config map,kubectl set env --keys=redis_host --from=configmap/namespace-config deployment/notification-handler-deployment
"List deployments in JSON output format, in the ""feature-branch-2.3.0"" version of the ""web-apps"" API group",kubectl get deployments.feature-branch-2.3.0.web-apps -o json
Create a job with a command,"kubectl create job audit-job --image=nginx -- nginx -g ""daemon off;"""
Set custom TLS server name to use for validation for the dev-cluster cluster entry,kubectl config set-cluster dev-cluster --tls-server-name=galaxy-cluster
Start a mysql pod and let the container expose port 9000,kubectl run hazelcast --image=mysql --port=9000
Embed certificate authority data for the galaxy-cluster cluster entry,kubectl config set-cluster galaxy-cluster --embed-certs --certificate-authority=~/.kube/dev-cluster/kubernetes.ca.crt
"Create or update exec auth plugin environment variables for the ""app-service"" entry",kubectl config set-credentials app-service --exec-env=key1=val1 --exec-env=key2=val2
"Update pod 'chat-app' with the annotation 'expiration-date' and the value '2024-12-31', overwriting any existing value",kubectl annotate --overwrite pods chat-app expiration-date='2024-12-31'
Update pod 'proxy-server' with the label 'env' and the value 'development',kubectl label pods proxy-server env=development
Use an alternative editor,"KUBE_EDITOR=""emacs"" kubectl edit svc/search-service"
"List deployments in YAML output format, in the ""legacy-1.0.0"" version of the ""alpha-apps"" API group",kubectl get deployments.legacy-1.0.0.alpha-apps -o yaml
"Listen on port 5432 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/backend-pod 5432:3000"
"If the deployment named foo's current size is 1, scale mysql to 3",kubectl scale --current-replicas=1 --replicas=3 deployment/foo
Return snapshot logs from container frontend-deployment-1 of a deployment named analytics-pod,kubectl logs deployment/frontend-deployment -c analytics-pod-1
List one or more resources by their type and names,kubectl get rc/web service/proxy-service-rc pods/vpn-service-pod
Create an interactive debugging session in pod mypod and immediately attach to it. # (requires the EphemeralContainers feature to be enabled in the cluster),kubectl debug mypod -it --image=busybox
"Listen on port 5000 on all addresses, forwarding to 8000 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 5000:8000
Create a deployment named db that runs the jenkins image and expose port 8000,kubectl create deployment db --image=jenkins --port=8000
Set deployment frontend-deployment's service account to dashboard,kubectl set serviceaccount deployment frontend-deployment dashboard
"Delete pods and services with same names ""media-stream"" and ""gateway""","kubectl delete pod,service media-stream gateway"
Create a deployment named my-dep that runs the jenkins image and expose port 9092,kubectl create deployment my-dep --image=jenkins --port=9092
"Mark node ""testing-node-11"" as unschedulable",kubectl cordon testing-node-11
Create a new resource quota named object-quota,"kubectl create quota object-quota --hard=configmaps=5,secrets=10,persistentvolumeclaims=5"
Roll back to daemonset revision 1,kubectl rollout undo daemonset/app-v2 --to-revision=1
Create a job with a command,kubectl create job testing --image=python -- pip --version
Update pod 'web' with the label 'component' and the value 'api',kubectl label pods web component=api
Create a job with a command,kubectl create job report-generation-job --image=mysql -- mysqld
Start a ethereum/client-go pod and let the container expose port 8081,kubectl run hazelcast --image=ethereum/client-go --port=8081
"Listen on port 8000 on all addresses, forwarding to 3000 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 8000:3000
Describe a node,kubectl describe nodes controller-node-10.controller-cluster.net
Show metrics for all pods in the given namespace,kubectl top pod --namespace=external-file-storage-service
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 5432 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/authentication-service-deployment 8000 5432
Add to node 'backup-node-14' a taint with key 'hardware' and no value,kubectl taint nodes backup-node-14 hardware:NoSchedule
Get output from running the 'node' command in warp-drive from pod payment-gateway-pod,kubectl exec payment-gateway-pod -c warp-drive -- node
Add a taint with key 'environment' on nodes having label project=project-alpha,kubectl taint node -l project=project-alpha  environment=k8s-node-1:PreferNoSchedule
Start the php pod using a different command and custom arguments,kubectl run nginx --image=php --command -- <cmd> <arg1> ... <argN>
Return snapshot logs from container mydeployment-1 of a deployment named chat-app-pod,kubectl logs deployment/mydeployment -c chat-app-pod-1
Update pod 'proxy' by removing a label named 'bar' if it exists # Does not require the --overwrite flag,kubectl label pods proxy env-
Import environment from a secret,kubectl set env --from=secret/api-key-secret deployment/payment-processor-deployment
Add a taint with key 'environment' on nodes having label release=beta,kubectl taint node -l release=beta  environment=gpu-node-12:PreferNoSchedule
"Set a deployments wordpress container cpu limits to ""200m"" and memory to ""128Mi""","kubectl set resources deployment wordpress -c=nginx --limits=cpu=200m,memory=128Mi"
"Listen on port 8888 locally, forwarding to 8081 in the pod",kubectl port-forward pod/backend-pod 8888:8081
"Listen on ports 3000 and 6000 locally, forwarding data to/from ports 5000 and 6000 in the pod",kubectl port-forward pod/log-aggregator-pod 3000 5000
"Create a service for a replication controller identified by type and name specified in ""ruby-controller.yaml"", which serves on port 80 and connects to the containers on port 8000",kubectl expose -f ruby-controller.yaml --port=3001 --target-port=800000
Create a new config map named app-secrets based on folder data,kubectl create configmap app-secrets --from-file=path/to/data
Add a taint with key 'app' on nodes having label region=eu-west-2,kubectl taint node -l region=eu-west-2  app=prod-node-5:PreferNoSchedule
Create a new config map named app-settings with specified keys instead of file basenames on disk,kubectl create configmap app-settings --from-file=properties=/path/to/settings/file1.txt --from-file=key1=/path/to/profiles/file2.txt
"Create a service for a replicated php using replica set, which serves on port 80 and connects to the containers on port 8000",kubectl expose rs php --port=9091 --target-port=300100
"Get output from running 'geth version' command from the first pod of the service gateway-service, using the first container by default",kubectl exec svc/gateway-service -- geth version
Import specific keys from a config map,kubectl set env --keys=SECRET_KEY --from=configmap/api-config deployment/frontend-deployment
Create a job with a command,kubectl create job image-build-job --image=ruby -- irb
Embed certificate authority data for the star-cluster cluster entry,kubectl config set-cluster star-cluster --embed-certs --certificate-authority=~/.kube/cluster-beta/kubernetes.ca.crt
"Listen on port 3000 on localhost and selected IP, forwarding to 8080 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/web-app-pod 3000:8080"
"Describe a pod identified by type and name in ""options.json""",kubectl describe -f options.json
Add a taint with key 'app' on nodes having label role=database,kubectl taint node -l role=database  app=app-node-6:PreferNoSchedule
Copy /tmp/foo_dir from a remote pod to /tmp/bar_dir locally,kubectl cp cert-manager/api-server-pod-3:/tmp/foo_dir /tmp/bar_dir
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node dev-node-4 -p '{""stringData"":{""password"":""new-password""}'"
Copy /tmp/foo_dir from a remote pod to /tmp/bar_dir locally,kubectl cp prometheus/image-resizer-pod-20:/tmp/foo_dir /tmp/bar_dir
Set custom TLS server name to use for validation for the cloud-cluster cluster entry,kubectl config set-cluster cloud-cluster --tls-server-name=web-cluster
"Create a cluster role name ""reader"" with NonResourceURL specified","kubectl create clusterrole ""reader"" --verb=update --non-resource-url=/logs/*"
Create a new ExternalName service named external-metrics-service,kubectl create service externalname external-metrics-service --external-name document-company.com
Return snapshot of previous terminated stardust-shuttle container logs from pod gateway-pod,kubectl logs -p -c stardust-shuttle gateway-pod
Remove from node 'app-node-6' all the taints with key 'zone',kubectl taint nodes app-node-6 zone-
Create a job with a command,kubectl create job batch-processing --image=postgres -- psql
"List deployments in JSON output format, in the ""feature-branch-2.3.0"" version of the ""testing-apps"" API group",kubectl get deployments.feature-branch-2.3.0.testing-apps -o json
Edit the service named 'backend-service',kubectl edit svc/backend-service
Start a nginx pod and let the container expose port 9090,kubectl run hazelcast --image=nginx --port=9090
Set custom TLS server name to use for validation for the web-cluster cluster entry,kubectl config set-cluster web-cluster --tls-server-name=testing-cluster
"Set a deployments jenkins container cpu limits to ""10"" and memory to ""256Mi""","kubectl set resources deployment jenkins -c=nginx --limits=cpu=10,memory=256Mi"
Show metrics for a given node,kubectl top node node-1
List one or more resources by their type and names,kubectl get rc/web service/frontend-rc pods/media-stream-pod
Add a taint with key 'hardware' on nodes having label region=eu-west-2,kubectl taint node -l region=eu-west-2  hardware=k8s-node-1:PreferNoSchedule
"Update pod 'web' with the annotation 'env' and the value staging # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods web env=staging
Create an ingress with multiple hosts and the pathType as Prefix,"kubectl create ingress ingress1 --class=default \
--rule=""testing.com/path*=svc:9092"" \
--rule=""bar.com/admin*=svc2:http"""
Add a taint with key 'datacenter' on nodes having label version=v1.0.0,kubectl taint node -l version=v1.0.0  datacenter=worker-node-3:PreferNoSchedule
Update pod 'analytics' with the label 'component' and the value 'web',kubectl label pods analytics component=web
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 5432 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/analytics-platform-deployment 5432 5432
Create a new config map named app-config-dev with specified keys instead of file basenames on disk,kubectl create configmap app-config-dev --from-file=settings=/path/to/profiles/file1.txt --from-file=key2=/path/to/settings/file2.txt
Describe one context in your kubeconfig file,kubectl config get-contexts cloud-context
Remove from node 'prod-node-5' all the taints with key 'datacenter',kubectl taint nodes prod-node-5 datacenter-
"List deployments in YAML output format, in the ""legacy-1.0.0"" version of the ""experimental-apps"" API group",kubectl get deployments.legacy-1.0.0.experimental-apps -o yaml
"Listen on port 8080 locally, forwarding to 6379 in the pod",kubectl port-forward pod/api-service-pod 8080:6379
"Listen on port 8888 locally, forwarding to 5432 in the pod",kubectl port-forward pod/web-app-pod 8888:5432
Display only the most recent 23 lines of output in pod vpn-service-pod,kubectl logs --tail=23 vpn-service-pod
"Delete pods and services with same names ""database"" and ""payment""","kubectl delete pod,service database payment"
Return snapshot of previous terminated lunar-launcher container logs from pod web-app-pod,kubectl logs -p -c lunar-launcher web-app-pod
"Auto scale a deployment ""email"", with the number of pods between 7 and 15, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment email --min=7 --max=15
"Get output from running 'go' command from the first pod of the service web-service, using the first container by default",kubectl exec svc/web-service -- go
List one or more resources by their type and names,kubectl get rc/web service/log-aggregator-rc pods/proxy-server-pod
Set the cluster field in the my-context context to moon-cluster,kubectl config set contexts.local-context.cluster moon-cluster
"Listen on port 3000 locally, forwarding to 8000 in the pod",kubectl port-forward pod/backend-pod 3000:8000
"Update pod 'analytics' with the annotation 'custom-label' and the value 'my-custom-value' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods analytics custom-label=my-custom-value
"Listen on port 5000 locally, forwarding to 6379 in the pod",kubectl port-forward pod/log-aggregator-pod 5000:6379
"Listen on port 8088 locally, forwarding to 5000 in the pod",kubectl port-forward pod/e-commerce-pod 8088:5000
Add a taint with key 'app' on nodes having label project=project-alpha,kubectl taint node -l project=project-alpha  app=k8s-node-1:PreferNoSchedule
Create a job with a command,kubectl create job certificate-renewal --image=docker.elastic.co/elasticsearch/elasticsearch -- elasticsearch
"Scale a resource identified by type and name specified in ""docker-registry.yaml"" to 7",kubectl scale --replicas=7 -f docker-registry.yaml
Begin streaming the logs of the time-machine container in pod log-aggregator-pod,kubectl logs -f -c time-machine log-aggregator-pod
"Listen on port 9090 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 9090:5432
Create a priority class named medium-priority,"kubectl create priorityclass medium-priority --value=50 --description=""Moderate, standard resource allocation"""
Set the last-applied-configuration of a resource to match the contents of a file,kubectl apply set-last-applied -f setup.yaml
Switch to raw terminal mode; sends stdin to 'bash' in quantum-quark from pod analytics-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach analytics-pod -c quantum-quark -i -t
Import specific keys from a config map,kubectl set env --keys=config_file_path --from=configmap/app-config deployment/scheduler-app-deployment
"Update a pod identified by type and name in ""options.json""",kubectl annotate -f options.json owner='alice smith'
Rename the context 'on-prem-context' to 'user-a-context' in your kubeconfig file,kubectl config rename-context on-prem-context user-a-context
Import environment from a secret,kubectl set env --from=secret/ssl-key-secret deployment/backend-microservice-deployment
Set custom TLS server name to use for validation for the kube-cluster-2 cluster entry,kubectl config set-cluster kube-cluster-2 --tls-server-name=testing-cluster
"Listen on port 8088 on localhost and selected IP, forwarding to 8088 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/e-commerce-pod 8088:8088"
Remove the resource requests for resources on containers in kafka,"kubectl set resources deployment kafka --limits=cpu=0,memory=0 --requests=cpu=0,memory=0"
Create a new config map named ui-config from an env file,kubectl create configmap ui-config --from-env-file=path/to/configurations.env
"Listen on port 5000 locally, forwarding to 6379 in the pod",kubectl port-forward pod/chat-app-pod 5000:6379
Create a cron job with a command,"kubectl create cronjob backup-job --image=wordpress --schedule=""*/1 * * * *"" -- mysql --version"
Add a taint with key 'app' on nodes having label team=devops,kubectl taint node -l team=devops  app=k8s-node-1:PreferNoSchedule
"List deployments in JSON output format, in the ""v2.0.0"" version of the ""my-apps"" API group",kubectl get deployments.v2.0.0.my-apps -o json
Import specific keys from a config map,kubectl set env --keys=log_level --from=configmap/global-config deployment/web-app-deployment
Create a new config map named app-name-config with specified keys instead of file basenames on disk,kubectl create configmap app-name-config --from-file=settings=/path/to/configurations/file1.txt --from-file=key2=/path/to/configurations/file2.txt
Display only the most recent 5 lines of output in pod vpn-service-pod,kubectl logs --tail=5 vpn-service-pod
Return snapshot logs from container api-server-deployment-1 of a deployment named monitoring-pod,kubectl logs deployment/api-server-deployment -c monitoring-pod-1
Set the cluster field in the my-context context to star-cluster,kubectl config set contexts.team-alpha-context.cluster star-cluster
Create a new config map named global-config with specified keys instead of file basenames on disk,kubectl create configmap global-config --from-file=properties=/path/to/profiles/file1.txt --from-file=key1=/path/to/properties/file2.txt
Update pod 'email' by removing a label named 'bar' if it exists # Does not require the --overwrite flag,kubectl label pods email role-
Create a new secret named database-secret with keys for each file in folder bar,kubectl create secret generic database-secret --from-file=path/to/parameters
"Listen on port 5432 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/e-commerce-pod 5432:8088
Add to node 'storage-node-13' a taint with key 'cpu-type' and no value,kubectl taint nodes storage-node-13 cpu-type:NoSchedule
"Listen on port 8080 on all addresses, forwarding to 9090 in the pod",kubectl port-forward --address 0.0.0.0 pod/mypod 8080:9090
Set the cluster field in the my-context context to cloud-cluster,kubectl config set contexts.cluster-2-context.cluster cloud-cluster
"Create a single ingress called 'web-ingress' that directs requests to foo.com/bar to svc # svc1:8082 with a tls secret ""my-cert""","kubectl create ingress web-ingress --rule=""foo.com/bar=svc1:8082,tls=my-cert"""
"Create a single ingress called 'myapp-ingress' that directs requests to testing.com/input to svc # svc1:7000 with a tls secret ""my-cert""","kubectl create ingress myapp-ingress --rule=""testing.com/input=svc1:7000,tls=my-cert"""
"Listen on port 8081 locally, forwarding to 8080 in the pod",kubectl port-forward pod/analytics-pod 8081:8080
Remove from node 'dev-node-4' the taint with key 'special' and effect 'NoSchedule' if one exists,kubectl taint nodes dev-node-4 special:NoSchedule-
"Auto scale a deployment ""proxy"", with the number of pods between 6 and 8, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment proxy --min=6 --max=8
"List deployments in YAML output format, in the ""custom-version"" version of the ""external-apps"" API group",kubectl get deployments.custom-version.external-apps -o yaml
Add a taint with key 'app' on nodes having label tier=frontend,kubectl taint node -l tier=frontend  app=worker-node-3:PreferNoSchedule
"Auto scale a deployment ""chat-app"", with the number of pods between 2 and 14, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment chat-app --min=2 --max=14
Get output from running the 'bash' command in astro-container from pod gateway-pod,kubectl exec gateway-pod -c astro-container -- bash
Scale a replica set named 'api-service-rs' to 3,kubectl scale --replicas=3 rs/api-service-rs
Set the cluster field in the my-context context to cluster-alpha,kubectl config set contexts.team-beta-context.cluster cluster-alpha
Import specific keys from a config map,kubectl set env --keys=debug_mode --from=configmap/ui-config deployment/database-deployment
Create a new secret named git-credentials-secret with keys for each file in folder bar,kubectl create secret generic git-credentials-secret --from-file=path/to/configs
"Listen on port 5000 locally, forwarding to 8000 in the pod",kubectl port-forward pod/frontend-pod 5000:8000
Update a cluster role binding for kube-scheduler,kubectl set subject clusterrolebinding admin --serviceaccount=namespace:kube-scheduler
Get output from running the 'pip --version' command in lunar-launcher from pod security-service-pod,kubectl exec security-service-pod -c lunar-launcher -- pip --version
"List deployments in YAML output format, in the ""v1.1.1"" version of the ""extensions"" API group",kubectl get deployments.v1.1.1.extensions -o yaml
"Delete pods and services with same names ""vpn"" and ""proxy-server""","kubectl delete pod,service vpn proxy-server"
Copy /tmp/foo from a remote pod to /tmp/bar_dir locally,kubectl cp kube-node-lease/web-app-pod-1:/tmp/foo /tmp/bar_dir
Import environment from a secret,kubectl set env --from=secret/ssl-key-secret deployment/log-aggregator-deployment
Set deployment monitoring-stack-deployment's service account to tiller,kubectl set serviceaccount deployment monitoring-stack-deployment tiller
"Listen on port 8888 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/mypod 8888:6379
Remove from node 'gpu-node-12' the taint with key 'cpu-type' and effect 'NoSchedule' if one exists,kubectl taint nodes gpu-node-12 cpu-type:NoSchedule-
Create a deployment named sonarqube that runs the wordpress image and expose port 9092,kubectl create deployment sonarqube --image=wordpress --port=9092
Import specific keys from a config map,kubectl set env --keys=redis_host --from=configmap/app-config-dev deployment/gateway-deployment
"Listen on port 8080 on all addresses, forwarding to 3000 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 8080:3000
Create a deployment named registry that runs the nginx image,kubectl create deployment registry --image=nginx
"Update pod 'web' with the annotation 'compliance-level' and the value 'PCI-DSS', overwriting any existing value",kubectl annotate --overwrite pods web compliance-level='PCI-DSS'
"Check to see if I can get the job named ""data-synchronization-job"" in namespace ""kube-node-lease""",kubectl auth can-i list jobs.batch/data-synchronization-job -n kube-node-lease
"Listen on port 8080 on localhost and selected IP, forwarding to 5432 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/cdn-service-pod 8080:5432"
Use an alternative editor,"KUBE_EDITOR=""code"" kubectl edit svc/logging-service"
Switch to raw terminal mode; sends stdin to 'bash' in quantum-quark from pod chat-app-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach chat-app-pod -c quantum-quark -i -t
Get output from cyber-sleuth from pod payment-gateway-pod,kubectl attach payment-gateway-pod -c cyber-sleuth
"Get output from running the 'node' command from pod cdn-service-pod, using the first container by default",kubectl exec cdn-service-pod -- node
Set custom TLS server name to use for validation for the moon-cluster cluster entry,kubectl config set-cluster moon-cluster --tls-server-name=galaxy-cluster
"Remove exec auth plugin environment variables for the ""robot-user"" entry",kubectl config set-credentials robot-user --exec-env=var-to-remove-
Copy /var/run/secrets/kubernetes.io/serviceaccount/ from a remote pod to /tmp/bar locally,kubectl cp istio-system/front-end-pod-12:/var/run/secrets/kubernetes.io/serviceaccount/ /tmp/bar
Describe one context in your kubeconfig file,kubectl config get-contexts app-1-context
Add a taint with key 'environment' on nodes having label app-type=microservice,kubectl taint node -l app-type=microservice  environment=testing-node-11:PreferNoSchedule
Create a new config map named app-config with specified keys instead of file basenames on disk,kubectl create configmap app-config --from-file=conf=/path/to/profiles/file1.txt --from-file=data=/path/to/data/file2.txt
"Auto scale a deployment ""monitoring"", with the number of pods between 1 and 9, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment monitoring --min=1 --max=9
"Listen on port 8080 locally, forwarding to 8888 in the pod",kubectl port-forward pod/web-app-pod 8080:8888
Start a jenkins pod and let the container expose port 8083,kubectl run hazelcast --image=jenkins --port=8083
"Update a pod identified by type and name in ""docker-registry.yaml""",kubectl annotate -f docker-registry.yaml criticality=high
Update image of all containers of daemonset staging to 'ruby:3.0.2',kubectl set image daemonset staging *=ruby:3.0.2
"Drain node ""k8s-node-1"", even if there are pods not managed by a replication controller, replica set, job, daemon set or stateful set on it",kubectl drain k8s-node-1 --force
Return snapshot logs from container web-app-deployment-1 of a deployment named web-app-pod,kubectl logs deployment/web-app-deployment -c web-app-pod-1
Update pod 'web' only if the resource is unchanged from version 1,kubectl label pods web status=unhealthy --resource-version=1
"Auto scale a replication controller ""email"", with the number of pods between 1 and 4, target CPU utilization at 81%",kubectl autoscale rc email --max=4 --cpu-percent=81
Get output from running the 'psql' command in stardust-shuttle from pod backend-pod,kubectl exec backend-pod -c stardust-shuttle -- psql
"Start a jenkins pod, but overload the spec with a partial set of values parsed from JSON","kubectl run nginx --image=jenkins --overrides='{ ""apiVersion"": ""legacy-1.0.0"", ""spec"": { ... } }'"
Return snapshot logs from container backend-microservice-deployment-1 of a deployment named proxy-service-pod,kubectl logs deployment/backend-microservice-deployment -c proxy-service-pod-1
Create a new NodePort service named log-aggregator-nodeport,kubectl create service nodeport log-aggregator-nodeport --tcp=9092:8083
